title,date
GISTDA เตือนไทยควรเตรียมรับมือพายุสนามแม่เหล็กโลก รุนแรงระดับ 7 จริง,6/5/1905
มีมติเห็นชอบมาตรการลดภาระค่าใช้จ่ายด้านพลังงาน 3 มาตรการ,13/5/1905
นอนหลับหลัง 4 ทุ่ม อันตรายต่อสุขภาพ และมีความเสี่ยงทำให้เสียชีวิตเร็วขึ้น จริง,13/5/1905
ลดค่าโอนและค่าจดจำนองอสังหาริมทรัพย์ ที่ราคาไม่เกิน 7 ล้านบาท เหลือ 0.01%,13/5/1905
อุทยานสิรินาถ ปิดการท่องเที่ยวบริเวณเกาะปลิง และแนวปะการังโดยรอบเป็นการชั่วคราว,13/5/1905
โครงการอาชีวะคลายร้อนทั่วไทย ลงทะเบียนบริการล้างแอร์ฟรี,13/5/1905
แจกเงินอุดหนุนรายหัวนักเรียน ปี 67 ตั้งแต่อนุบาล-ปวช. เพิ่มขึ้น 8% ทุกระดับ,13/5/1905
ปิดทางด่วนเฉลิมมหานคร ช่วงสุขสวัสดิ์-ดาวคะนอง ทุกวันตั้งแต่ 21.00-5.00 น.,13/5/1905
การไฟฟ้าส่วนภูมิภาคเปลี่ยนไลน์แจ้งเตือนค่าไฟฟ้าใหม่ เป็น @PEAThailand,13/5/1905
ใช้ช้อนขูดลิ้นตั้งแต่โคนลิ้นถึงปลายลิ้น ช่วยลดแบคทีเรียและเซลล์ที่ตายแล้วที่เป็นสาเหตุของกลิ่นปาก,13/5/1905
ไข้หวัดแดดในเด็ก มีอาการไข้สูง อ่อนเพลีย อาเจียน เบื่ออาหาร,13/5/1905
กรมอุตุฯ ประกาศการเข้าฤดูฝน ปี 2567 จะเริ่มประมาณสัปดาห์ที่ 4 ของเดือน พ.ค.,13/5/1905
4 อาหารไม่ควรแช่ตู้เย็นนาน เสี่ยงอันตรายต่อร่างกาย,13/5/1905
เขื่อนป่าสักชลสิทธิ์ในเดือนเม.ย. มีน้ำเหลือ 213.85 ล้าน ลบ.ม. หรือ 22% ของความจุอ่าง,13/5/1905
พาสปอร์ตหาย ขอทำเล่มใหม่ได้ ไม่ต้องแจ้งความ,13/5/1905
หลังจากหย่าผู้ชายสามารถจดทะเบียนสมรสต่อได้ทันที แต่ผู้หญิงต้องรอ 310 วัน,13/5/1905
ดื่มน้ำหวานมากกว่าน้ำเปล่า มีโอกาสเสี่ยงเป็นอัมพฤกษ์,13/5/1905
เสียบปลั๊กไฟทิ้งไว้โดยไม่ใช้งาน มีส่วนให้ค่าไฟแพงขึ้น ,13/5/1905
เตรียมออกกฎหมายทำประกันผู้ใช้บริการรถไฟฟ้า เพื่อเพิ่มความมั่นใจแก่ผู้ใช้บริการ,13/5/1905
กรมอุทยานฯ ประกาศปิดเขตรักษาพันธุ์สัตว์ป่าเชียงดาวหลังมีการลักลอบบุกรุกเผาป่า,13/5/1905
อนุมัติฟรีวีซ่าคาซัคสถาน อยู่ไทยได้เพิ่มอีก 6 เดือนไม่ต้องขอวีซ่า,13/5/1905
ครม. อนุมัติฟรีวีซ่านักท่องเที่ยวรัสเซีย อยู่ไทยไม่เกิน 60 วัน,13/5/1905
ครม. เสนอทะเลสาบสงขลาเป็นมรดกโลกทางวัฒนธรรม,13/5/1905
1 ครอบครัว 1 Soft Power เข้าร่วมส่งเสริมบ่มเพาะศักยภาพฟรี รับสมัครเดือน มิ.ย.,13/5/1905
เตรียมคืนเงินที่เหลือในบัตรสวัสดิการแห่งรัฐ เป็นเงินสดผ่านบัญชีพร้อมเพย์,10/5/1905
สั่งดำเนินการให้เครื่องครัว stainless เป็นสินค้าควบคุม 7 รายการ หวั่นโลหะหนักปนเปื้อน,10/5/1905
ปรับปรุงกฎหมายเกี่ยวกับการป้องกันการทุจริตฉ้อโกงของบริษัทจดทะเบียนในตลาดหลักทรัพย์,10/5/1905
ไทย-เวียดนาม ยกระดับความสัมพันธ์เป็นหุ้นส่วนทางยุทธศาสตร์รอบด้าน,10/5/1905
"อสม.- อสส. ยื่นกู้ ธ.ก.ส. ผ่านสินเชื่อเงินด่วนคนดี ไม่เกิน 20,000 บาทต่อคน",10/5/1905
"นโยบายครอบครัวอุปถัมภ์ผู้สูงอายุ ช่วยเหลือ 2,000 บาท/ครอบครัว เพื่อดูแลผู้สูงอายุ",30/4/1905
"ไทย-เกาหลี เพิ่มโควตาแรงงานภาคอุตสาหกรรม 5,500 อัตรา",30/4/1905
เปิดลงทะเบียนเข้าร่วมมาตรการบรรเทาภาระค่าไฟฟ้าและค่าน้ำประปา 1 ครัวเรือนต่อ 1 สิทธิต่อ 1 รหัสประจำบ้าน,13/5/1905
สธ. เปิดศูนย์ฉุกเฉินการแพทย์ฯ กรณีแคดเมียม,1/5/1905
คณะกรรมการระบบสุขภาพปฐมภูมิ มีมติผลิตหมอเวชศาสตร์ครอบครัว 1 คน 1 จังหวัด,13/5/1905
ครม. ผ่อนผันแรงงานต่างด้าว กลับบ้านร่วมประเพณีสงกรานต์ 1 เม.ย.-15 พ.ค. 67 ,13/5/1905
เงินพิเศษกลุ่มผู้พิการเลื่อนจ่ายเร็วขึ้น 19 เม.ย. 67,13/5/1905
กทม. เตรียมติดตั้งตู้น้ำดื่มฟรีทั่วกรุงเทพฯ 200 จุด,10/5/1905
MEA ร่วมกับ สถาบันเทคโนโลยี ไทย-ญี่ปุ่น ติดตั้ง Solar Rooftop,10/5/1905
น้ำตาลช่วยลดความรู้สึกอิ่มได้ หรือที่เรียกกันว่า กระเพาะของหวาน,10/5/1905
ระบบสแกนใบหน้าผู้ใช้จ่ายบัตรสวัสดิการแห่งรัฐ หากมีแสงสว่างเกินไปจะสแกนไม่ผ่าน,10/5/1905
เพิ่มเที่ยวบินการบินไทยเส้นทางเชียงใหม่ ภูเก็ต รับสงกรานต์ 2567,10/5/1905
ธอส. ปล่อยกู้บ้านดอกเบี้ย ปีแรก 2.60% เงินฝากออมทรัพย์ดอกเบี้ยสูง 1.85% ต่อปี,30/4/1905
กรุงไทยช่วยข้าราชการกลุ่มเปราะบาง ปล่อยสินเชื่อรวมหนี้ข้าราชการ ยั่งยืน,30/4/1905
สมอ. ตรวจเข้มมาตรฐาน หมวกกันน็อก ปืนฉีดน้ำ และยางรถยนต์ช่วงเทศกาลสงกรานต์,13/5/1905
ลงทะเบียนกู้เงินสร้างอาชีพ 5 หมื่น-3 แสน ยื่นกู้ได้ถึง 30 เม.ย 67 ณ สำนักงานจัดหางานทั่วประเทศ,1/5/1905
"ธ.ก.ส. จัดโครงการสินเชื่อเงินด่วนคนดี ให้สมาชิก อสม. และ อสส. รายละไม่เกิน 20,000 บาท",13/5/1905
"เตรียมพัฒนาท่าเรือคลองเตย 2,000 ไร่ ให้กลายเป็นพื้นที่สาธารณะและพาณิชย์",13/5/1905
ขสมก. ส่งต่อการบริการให้เอกชนเดินรถ 6 เส้นทางตั้งแต่ 9 เมษายน 67 เป็นต้นไป,13/5/1905
เตรียมเสนอชุดไทย-มวยไทย ขึ้นทะเบียนมรดกวัฒนธรรมที่จับต้องไม่ได้ของมนุษยชาติต่อยูเนสโก,10/5/1905
พฤติกรรมเสี่ยงทำให้เกิดท้องอืด จุกเสียดแน่น,10/5/1905
ตรวจสอบสภาพรถฟรี ช่วงเทศกาลสงกรานต์ ที่ศูนย์บริการของภาคีเครือข่ายภาครัฐและเอกชนทั่วประเทศ,10/5/1905
รฟท. เปิดตัวรถไฟขบวนใหม่ SRT ROYAL BLOSSOM เปิดใช้บริการกลางปี 67,10/5/1905
"กระทรวงแรงงานปล่อยกู้วงเงิน 50,000-300,000 บาท สำหรับแรงงานอิสระ-ผู้ไม่มีเงินทุน",10/5/1905
รถไฟฟ้าสายสีเหลืองประกาศลดค่าโดยสาร 20% ตลอดเส้นทาง,30/4/1905
ครม. อนุมัติงบปี 68 จ้างภารโรงเพิ่ม ช่วยเข้าเวรแทน,30/4/1905
ธอส. ขยายเวลาเพิ่ม 3 เดือน มาตรการแก้ไขปัญหาหนี้สินภาคครัวเรือน ปี 2567,13/5/1905
บัตรคนจนลงทะเบียนใช้ น้ำ-ไฟ ฟรี 1 ครัวเรือน ต่อ 1 สิทธิ,1/5/1905
AOT เปิดจุดบริการรับ-ส่งผู้โดยสารและผู้ใช้บริการรถรับจ้างสาธารณะผ่านแกร็บ,13/5/1905
จองตั๋วรถไฟออนไลน์ สแกนจ่ายผ่านพร้อมเพย์ผ่านหน้าเว็บไซต์การรถไฟแห่งประเทศไทย,13/5/1905
ศูนย์ส่งเสริมและพัฒนาอาชีพนอกภาคการเกษตร เปิดรับสมัครผู้เข้ารับการฝึกอบรมศิลปาชีพรุ่นที่ 99,13/5/1905
เตรียมเปิดใช้มอเตอร์เวย์บางใหญ่-กาญจนบุรี M81 วิ่งฟรีทุกวันสุดสัปดาห์,10/5/1905
อนุมัติงบ 2.9 พันล้าน อุดหนุนค่าอาหารกลางวันนักเรียน ม.1-3 โรงเรียนขยายโอกาสทางการศึกษา,10/5/1905
ครม. อนุมัติให้ลูกจ้างมีสิทธิลาคลอดบุตร โดยได้รับค่าจ้างเพิ่มขึ้น จากเดิมไม่เกิน 90 วัน เป็นไม่เกิน 98 วัน,10/5/1905
ยื่นแบบแสดงการส่งเงินสมทบกองทุนพัฒนาฝีมือแรงงาน ผ่านระบบออนไลน์ PRB e-Service ภายใน 31 มี.ค. นี้,10/5/1905
ขึ้นค่าแรงนำร่อง 10 จังหวัดท่องเที่ยว มีผล 13 เม.ย. นี้,10/5/1905
ครม. ดำเนินการผลักดันจังหวัดน่าน เป็นเมืองมรดกโลกคู่เมืองหลวงพระบาง,30/4/1905
ธอส. ปล่อยสินเชื่อดอกเบี้ยต่ำ วงเงิน 3 หมื่นล้านบาท,30/4/1905
เดือน มี.ค. เป็นต้นไป พระอาทิตย์จะเพิ่มความร้อนแรงขึ้นกว่าที่ผ่านมา อุณหภูมิอยู่ในเกณฑ์ร้อนจัด 40 องศา,13/5/1905
"กฟน. ร่วมกับ คิวช่าง มอบส่วนลดล้างแอร์ราคาพิเศษ จำนวน 10,000 สิทธิ์",1/5/1905
ผู้ได้รับผลกระทบจากสัตว์ป่า หากเสียชีวิต บาดเจ็บ หรือทุพพลภาพ จะได้รับการช่วยเหลือเยียวยาสูงสุด 1 แสนบาท,13/5/1905
โครงการโคแสนล้าน ปล่อยกู้ 5 หมื่นบาทต่อครัวเรือน เลี้ยงโค 1 แสนครัวเรือน,13/5/1905
การบินไทย ขยาย 3 เส้นทางบินใหม่ เพิร์ท-โคลัมโบ-โกชิ,13/5/1905
สมอ. ระดม Outsource ที่ขึ้นทะเบียนกว่า 20 หน่วยงาน เร่งตรวจโรงงาน ป้องกันสินค้าด้อยคุณภาพ,10/5/1905
ผู้ป่วย-สูงอายุ-กลุ่มเสี่ยง ไม่ควรเที่ยวเชียงใหม่กลางแจ้ง,10/5/1905
กทม. ก่อสร้างสถานีชาร์จรถยนต์ไฟฟ้า 30 หัวชาร์จ ในศูนย์กำจัดมูลฝอยหนองแขม,26/4/1905
ตรวจรถฟรี 20 รายการ ก่อนเดินทางสงกรานต์ จนถึง 15 เม.ย. 67,26/4/1905
"เงินช่วยเหลือ 3 กลุ่ม เข้าวันที่ 10 เม.ย. 67 ผู้สูงอายุ ผู้พิการ รับทุกคน สูงสุด 1,000 บาท",10/5/1905
วุ้นในตาเสื่อม เสี่ยงการสูญเสียการมองเห็นแบบถาวร,30/4/1905
สหรัฐตั้งคณะทำงานกับไทย เพื่อศึกษาการสร้างโรงงานชิปในไทย,30/4/1905
ผู้สูงอายุสิทธิสวัสดิการแห่งรัฐ รับเงินสงเคราะห์ 100 บาท 9 เดือน,13/5/1905
ฟินแลนด์ระงับการรับคำร้องขอตรวจลงตรา Schengen Visa ของคนไทยที่จะเข้าไปทำงานเก็บผลไม้ป่า,1/5/1905
คลังเปิดบริการออมเพลิน บนแอปฯ เป๋าตัง,13/5/1905
กระดาษเมามีฤทธิ์หลอนประสาทรุนแรง มีผลต่อการรับรู้และการตัดสินใจ อาจถึงขั้นทำร้ายผู้อื่นและฆ่าตัวตายได้,13/5/1905
กทม. เตรียมเปิดใช้บริการแอปพลิเคชัน เรียกวินรถจักรยานยนต์,10/5/1905
มนุษย์สามารถติดเชื้อราจากแมว มีผื่นคันลามทั้งตัวได้,10/5/1905
นอนตะแคงซ้าย ช่วยลดอาการแสบร้อนกลางอกจากกรดไหลย้อนได้,26/4/1905
สธ. เพิ่มศักยภาพโรงพยาบาลธัญญารักษ์ภูมิภาค รองรับผู้ป่วยจิตเวชทั่วประเทศ,26/4/1905
รับประทานผลไม้สดหรืออบแห้ง ผักสด ถั่วต่าง ๆ เหมาะกับผู้เป็นอาการวัยทอง,10/5/1905
สำนักงานสลากฯ เปิดตัวแผงสลากดิจิทัล ผ่านเว็บไซต์ www.glolotteryshop.com,30/4/1905
"โครงการบ้าน ธอส. เพื่อคุณ บ้านราคาไม่เกิน 3 ล้านบาท ผ่อนล้านละ 5,100 บาท ปีแรกดอกเบี้ย 3.75%",30/4/1905
"อนุมัติงบช่วยเหลือผู้สูงอายุทั่วประเทศ เงินสงเคราะห์ภาวะยากลำบาก รายละ 3,000 บาท",13/5/1905
รัฐบาลเตรียมกระตุ้นการท่องเที่ยวทางบก Drive Tourism เชื่อมโยง 5 ประเทศอาเซียน,1/5/1905
PM 2.5 ส่งผลกระทบต่อความดันและหัวใจ,13/5/1905
โรคไข้นกแก้วคล้ายไข้หวัดใหญ่-ปอดอักเสบรุนแรง,13/5/1905
เกาหลีใต้เตรียมเปิดรับสมัครแรงงานหญิงไทย อายุ 18-39 ปี ทำงานบริการ งานโรงแรม ร้านอาหาร,10/5/1905
"ธอส. เพิ่มโปรโมชันสำหรับคนอยากมีบ้าน ผ่อนล้านละ 3,500 บาท ดอกเบี้ยต่ำ 2.80% ต่อปี ผ่อนนานสูงสุด 40 ปี",10/5/1905
คนที่ดื่มแอลกอฮอลล์หนักและสูบบุหรี่จัด ทำให้เลือดเเยกเป็นชั้นไขมัน,26/4/1905
นายกฯ ตั้งเป้าหมายขับเคลื่อนไทยเป็นศูนย์กลางการผลิตยานยนต์แห่งอนาคต,26/4/1905
สภาวะเอลนีโญส่งผลให้อุณหภูมิโลก และน้ำทะเลสูงขึ้นกว่าเดิม,10/5/1905
ค่าฝุ่น PM 2.5 ในภาคเหนือสูง เพราะเกิดจากหมอกควันข้ามแดน,30/4/1905